trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
10,7500,0.6,0.35,75000,0.01,512,128,2.5805799028679174e-06,1750,1.0,0.99,0.05,0.9988,1.35,1.1,0.09,95.07231135418948
11,5000,0.75,0.3,75000,0.006,256,128,2.6105615600300815e-06,1750,0.9,0.98,0.045,0.9987,1.45,0.9,0.07,96.25634619896508
12,5000,0.7,0.25,50000,0.006,256,128,2.15929775180147e-06,1750,0.9500000000000001,0.97,0.045,0.9988,1.55,1.15,0.05,96.54109895411968
13,5000,0.75,0.25,125000,0.006,256,256,2.505262582805198e-06,2000,0.9500000000000001,0.98,0.05,0.9987,1.4,1.05,0.1,96.60854025710748
14,10000,0.7,0.5,75000,0.008,512,128,2.563776236002991e-06,2000,0.9,0.96,0.05,0.9998,1.6,1.0,0.05,98.06220221129668
15,10000,0.6,0.25,150000,0.009000000000000001,512,128,2.02761024647446e-06,2000,0.9,0.95,0.03,0.9996,1.6,1.0,0.05,96.4977910179172
16,10000,0.6,0.25,150000,0.009000000000000001,512,128,1.8360227581490376e-06,2000,0.9,0.95,0.03,0.9999,1.55,1.0,0.05,97.41934404848357
17,10000,0.6,0.25,150000,0.009000000000000001,512,128,1.7790388280741188e-06,2000,0.9,0.95,0.03,0.9999,1.35,1.0,0.05,97.99118339987564
18,10000,0.6,0.3,150000,0.009000000000000001,512,128,1.7025353865900396e-06,2000,0.9,0.95,0.03,0.9999,1.6,1.0,0.05,97.87197760235414
19,10000,0.7,0.5,75000,0.008,512,128,4.445001834345523e-06,2000,0.9,0.96,0.05,0.9998,1.6,1.0,0.05,97.48581420972901
20,10000,0.7,0.5,75000,0.008,512,128,4.065689017261566e-06,2000,0.9,0.96,0.05,0.9999,1.6,1.0,0.060000000000000005,97.41911681635477
21,10000,0.7,0.5,75000,0.008,512,128,3.956265081212466e-06,2000,0.9,0.96,0.05,0.9984,1.6,1.0,0.060000000000000005,96.9079949350996
22,10000,0.65,0.5,125000,0.008,512,128,3.902134976466368e-06,2000,0.9,0.96,0.04,0.9999,1.35,0.9500000000000001,0.060000000000000005,97.2772529506591
23,10000,0.65,0.5,125000,0.008,512,128,4.049361850323083e-06,2000,0.9,0.96,0.04,0.9996,1.35,0.9500000000000001,0.060000000000000005,96.94972850362171
24,10000,0.65,0.5,125000,0.008,512,128,1.0438591650360983e-06,2000,0.9500000000000001,0.96,0.04,0.9996,1.3,0.9500000000000001,0.060000000000000005,96.1862769738727
25,10000,0.65,0.3,125000,0.008,512,128,1.0503776534265358e-06,2000,0.9,0.95,0.03,0.9996,1.55,0.9500000000000001,0.060000000000000005,96.97430377258222
