trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,value
68,6755,0.9000000000000001,0.3,14003,0.005010245342332938,512,1024,5.591751336596934e-06,2200,0.7799999999999999,0.975,0.067,0.9659346430078963,78.88765814921648
69,6723,0.9000000000000001,0.3,25822,0.0017862230541594404,512,1024,3.8013859199121694e-06,2200,0.7799999999999999,0.969,0.072,0.9647949435810137,78.37107171943435
70,26164,0.9000000000000001,0.33,11017,0.0018859401144471974,1024,1024,5.388950132998441e-06,1400,0.7799999999999999,0.984,0.069,0.9648321164060032,78.64550481050956
71,35253,0.9000000000000001,0.33,10312,0.001302115316136102,1024,1024,8.084121563347546e-06,1400,0.77,0.978,0.06999999999999999,0.9709986488266276,78.83445423760023
72,37362,0.9000000000000001,0.33,11130,0.0013146057323692372,1024,1024,7.673194192474764e-06,2400,0.77,0.978,0.072,0.9648617804695254,78.2821897519245
73,35130,0.7,0.33,10175,0.0013113558780369166,1024,1024,7.287283097559272e-06,5100,0.77,0.978,0.072,0.9650315723786901,78.58679376104618
74,37090,0.7,0.32,10933,0.0012963200109308356,1024,1024,7.196486804617615e-06,2400,0.77,0.977,0.06999999999999999,0.968745514673027,78.65727070034686
75,34078,0.7,0.28,5602,0.0012581981055302224,1024,1024,7.69598727945518e-06,2400,0.77,0.978,0.06999999999999999,0.9686648609845697,78.22177946483183
76,33509,0.7,0.28,18810,0.0012600633698890264,1024,1024,2.6666813625158894e-06,1000,0.77,0.979,0.064,0.9685026647298962,78.2404521587104
77,33043,0.7,0.28,20045,0.00046374253989178103,1024,1024,2.6564171601300857e-06,3300,0.76,0.979,0.064,0.9685897986484961,77.96740013789123
78,5655,1.0,0.28,20399,0.0022171395133415103,1024,1024,3.836428015022483e-06,3200,0.76,0.96,0.06999999999999999,0.9667238203414064,78.86474433795198
79,59712,1.0,0.28,19753,0.0009268625586706234,256,1024,3.3116203650571e-06,3300,0.76,0.98,0.064,0.9633566473358599,78.69738398380014
80,5807,1.0,0.26,20654,0.002130274688710564,256,1024,3.191987872483412e-06,1000,0.76,0.96,0.064,0.9632990180003799,78.93908701739927
81,29108,1.0,0.26,15782,0.00045177309262646676,256,1024,3.2399296712257024e-06,3300,0.7,0.96,0.062,0.9663696829687586,78.40143035292533
82,60168,1.0,0.26,44528,0.0007246076012460551,256,1024,3.3347982509701314e-06,2900,0.7,0.964,0.062,0.9667654364609386,78.40882554941399
83,22877,1.0,0.25,16533,0.00805052813066917,256,1024,1.8987008906854012e-06,5500,0.7,0.962,0.062,0.963173316591167,78.58423554370995
85,28862,1.0,0.3,38222,0.005898303190989435,1024,1024,2.1789920973293597e-06,5400,0.7,0.971,0.073,0.9695414242444707,79.29904172309449
84,29303,0.8,0.26,16023,0.000735250956693237,256,1024,1.5475209750315907e-06,2800,0.7,0.962,0.062,0.9659056583219883,78.58777874820757
86,45902,1.0,0.3,42667,0.0007390325116148353,1024,1024,2.1560691617829204e-06,2800,0.7799999999999999,0.971,0.073,0.9695866435672142,78.71159211804408
87,49091,0.9000000000000001,0.3,38568,0.008013508863092416,1024,1024,2.0797686975205765e-06,2600,0.7899999999999999,0.971,0.071,0.9693945276844713,79.33813150086566
88,45914,0.9000000000000001,0.3,38615,0.00873405822485315,1024,1024,1.592041373984208e-06,2600,0.7899999999999999,0.972,0.073,0.9697169029884979,78.88385047675487
89,47560,0.9000000000000001,0.3,24967,0.003386920820243,1024,1024,2.197718172768668e-06,5200,0.71,0.971,0.073,0.9695709880564854,78.5538477193147
90,48566,0.9000000000000001,0.3,48101,0.003271023964660244,1024,512,2.292338395045837e-06,5300,0.71,0.971,0.073,0.9677714923378338,79.2732954759147
91,24915,0.9000000000000001,0.29,49112,0.0034802260661092746,1024,512,1.2925203402733587e-06,4900,0.71,0.974,0.075,0.9680473399209466,79.30652902192041
92,49701,0.9000000000000001,0.29,38721,0.008826590668718876,1024,512,2.335841442591783e-06,4900,0.71,0.973,0.073,0.9679499372872311,78.39977254797938
93,24718,0.9000000000000001,0.31,49587,0.0035597579767814467,1024,512,1.2931557931860252e-06,4800,0.71,0.973,0.071,0.9679477526820086,79.12402760910865
94,24654,0.8,0.29,48223,0.009804947595282502,1024,512,2.449674621766914e-06,5800,0.71,0.973,0.071,0.9680224644974152,78.31778688545134
95,50715,0.9000000000000001,0.29,37683,0.006113623622396682,1024,512,1.9000224349292715e-06,5700,0.71,0.973,0.075,0.9679170255630374,79.22253643986444
96,49862,0.8,0.32,48285,0.006205057070750799,1024,512,1.2999322127750214e-06,5200,0.71,0.973,0.075,0.9678715654958684,77.89018556791065
97,24351,0.8,0.32,48275,0.005985020023939566,1024,512,1.834552576633724e-06,5700,0.71,0.974,0.075,0.9679298199834575,79.08907936153473
98,21747,0.8,0.32,51801,0.0037726314620933933,1024,512,1.0988043176608253e-06,5300,0.71,0.974,0.075,0.9678272445560727,78.57621419669084
99,40580,0.8,0.39,54835,0.003747961916495868,1024,512,1.273593767809478e-06,5300,0.71,0.975,0.075,0.9677502929592908,78.63285900827209
